id,name,description,allergens,gender,price
86,Holistic Way Elderbery Immune Gummies 60S,Elderberry immune support gummies.,Not-Known,Unisex,MYR 92.65
87,Holistic Way Collagen Radiant Gummies 60S,Collagen supplement in gummy form.,Not-Known,Unisex,MYR 109.00
88,Holistic Way Apple Cider Vinegar Gummies 60S,Apple cider vinegar supplement in gummy form.,Not-Known,Unisex,MYR 92.65
89,Dr. Scholl'S Pain Relief Orthotics For Knee Pain Men Sizes 8-14 2S,Orthotic insoles for knee pain relief (for men).,Not-Known,Male,MYR 116.91
90,Vitahealth Livo Tonic 90S,Liver tonic supplement.,Not-Known,Unisex,MYR 112.42
91,Vitahealth Eye-Care 90S,Eye health supplement.,Not-Known,Unisex,MYR 126.75
92,"Vitahealth Omega 3,6,9 150S",Omega 3 6 9 supplement.,Not-Known,Unisex,MYR 110.92
93,Contour Plus Elite Blood Glucose Monitoring + 25 Strips,Blood glucose monitoring device with 25 strips.,Not-Known,Unisex,MYR 90.00
94,Waitemata Manuka Honey Umf 15+ 250G,Manuka honey with UMF 15+ rating.,Not-Known,Unisex,MYR 203.15
95,Live-Well Mecomin 90S,Vitamin B supplement.,Not-Known,Unisex,MYR 54.75
96,Kinohimitsu Beauty Special Box Set 2,Beauty supplement box set.,Not-Known,Unisex,MYR 139.00
97,Kinohimitsu D'tox Tea Peppermint 2gx60's,Peppermint detox tea.,Not-Known,Unisex,MYR 49.90
98,Tiger Balm Plaster Warm 2s S,Warm tiger balm plaster (small).,Not-Known,Unisex,MYR 4.42
99,Counterpain 60g,Pain relief cream.,Not-Known,Unisex,MYR 15.12
100,BiO-LiFE AB Junior Pre & Pro 50s,Probiotic supplement for children.,Not-Known,Children,MYR 132.00
101,Hudson's Eumenthol Jujubes 50g Classic,Eucalyptus jujubes.,Not-Known,Unisex,MYR 9.45
102,Kinohimitsu J'pan D'tox Plum 6s + D'tox Tea Peppermint 14s,Plum detox drink with peppermint tea.,Not-Known,Unisex,MYR 58.90
103,Royal Bird Nest With Collagen 75ml x 6s,Bird nest drink with collagen.,Not-Known,Unisex,MYR 36.00
104,Nixoderm Ointment 5.34g,Ointment for skin conditions.,Not-Known,Unisex,MYR 8.50
105,Salonpas Patch 20 x10s,Pain relief patches.,Not-Known,Unisex,MYR 123.50
106,Hurix's Cream For Mouth Ulcer 5g,Cream for mouth ulcers.,Not-Known,Unisex,MYR 14.31
107,Nixoderm Ointment 17.7g,Ointment for skin conditions.,Not-Known,Unisex,MYR 15.75
108,Bausch + Lomb Renu Sensitive Multi-Purpose Solution 355mlx2,Contact lens solution.,Not-Known,Unisex,MYR 35.91
109,Durex Play 100ml,Personal lubricant.,Not-Known,Unisex,MYR 22.32
110,Tiger Balm Mosquito Repellent Patch 10s,Mosquito repellent patches.,Not-Known,Unisex,MYR 15.21
111,Microlife Non-Contact Forehead Thermometer FR1DZ1,Non-contact thermometer.,Not-Known,Unisex,MYR 199.00
112,Dettol Personal Care Wipes Sensitive 10's Pack Of 3,Personal care wipes.,Not-Known,Unisex,MYR 10.80
113,Perskindol Classic Spray 150ml,Pain relief spray.,Not-Known,Unisex,MYR 25.91
114,Tiger balm 4g,Topical ointment for pain relief.,Not-Known,Unisex,MYR 2.55
115,Durex Love Condom 3's,Condoms (love),Latex,Unisex,MYR 7.80
116,Tiger Balm Plaster Cool 2s S,Cool tiger balm plaster (small).,Not-Known,Unisex,MYR 4.25
117,ALCON OPTI-FREE Pure Moist 90ml,Contact lens solution.,Not-Known,Unisex,MYR 13.99
118,Benourish Elderflora Black Elderberry Extract 15S + 2S,Black elderberry extract supplement.,Not-Known,Unisex,MYR 75.65
119,Benourish Elderimuno Black Elderberry Extract 20S + 2S,Black elderberry extract supplement.,Not-Known,Unisex,MYR 75.65
120,Benourish Eldervisio Black Elderberry Extract 20S + 2S,Black elderberry extract supplement.,Not-Known,Unisex,MYR 75.65
121,Guardian Crepe Elastic Bandage 7.5Cm,Elastic bandage.,Not-Known,Unisex,MYR 6.50
122,Guardian Crepeelastic Bandage 5Cm,Elastic bandage.,Not-Known,Unisex,MYR 4.90
123,SCOTT'S Vitamin C Pastilles Mango 50S For Kids,Mango-flavored vitamin C pastilles for kids.,Not-Known,Children,MYR 18.90
124,Strepsils Chesty Cough 8's,Cough relief lozenges.,Not-Known,Unisex,MYR 7.65
125,Durex Extra Safe Condom 12's,Condoms (extra safe),Latex,Unisex,MYR 43.20
126,Durex Fetherlite Condom 12's,Condoms (fetherlite),Latex,Unisex,MYR 43.20
127,Flavettes Vitamin C Blackcurrant 250mg 60 Tablets,Blackcurrant-flavored vitamin C tablets.,Not-Known,Unisex,MYR 17.40
128,Appeton Multivitamin Lysine 60's,Multivitamin supplement.,Not-Known,Unisex,MYR 55.89
129,Appeton A-Z Kid's Vitamin C 30mg Orange 100's,Orange-flavored vitamin C tablets for kids.,Not-Known,Children,MYR 29.88
130,BiO-LiFE Astaxanthin 6mg 30'S,Astaxanthin supplement.,Not-Known,Unisex,MYR 84.50
131,SCOTT'S Vitamin C Pastilles Orange 15S For Kids,Orange-flavored vitamin C pastilles for kids.,Not-Known,Children,MYR 5.40
132,SCOTT'S Vitamin C Pastilles Peach 15S For Kids,Peach-flavored vitamin C pastilles for kids.,Not-Known,Children,MYR 5.40
133,Appeton Active-C 100mg Orange 60's,Orange-flavored vitamin C tablets.,Not-Known,Unisex,MYR 35.73
134,Guardian Ovulation Test 5's (Us),Ovulation test kit.,Not-Known,Unisex,MYR 30.60
135,Appeton Multivitamin Lysine Syrup 120ml,Multivitamin syrup with lysine.,Not-Known,Unisex,MYR 53.77
136,Strepsils Max 16s,Sore throat relief lozenges.,Not-Known,Unisex,MYR 11.90
137,Hurix's Phlegm & Cough Herbs Capsule 12X6's,Cough relief capsules.,Not-Known,Unisex,MYR 85.30
138,GoodMorning Vplus 18 Grains 1kg,Multigrain beverage mix.,Not-Known,Unisex,MYR 69.90
